,camis,name,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,inspection_type,address,zip_code,rating,price,cuisine
1331,41112797,elegante pastry shop,brooklyn,165,avenue u,11223,7183737008,Bakery,2015-05-19,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,11.0,Cycle Inspection / Initial Inspection,165 ave u,11223,4.0,$$,bakeries
1332,41112797,elegante pastry shop,brooklyn,165,avenue u,11223,7183737008,Bakery,2016-04-17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,Cycle Inspection / Initial Inspection,165 ave u,11223,4.0,$$,bakeries
1333,41112797,elegante pastry shop,brooklyn,165,avenue u,11223,7183737008,Bakery,2017-05-09,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,8.0,Cycle Inspection / Initial Inspection,165 ave u,11223,4.0,$$,bakeries
1334,41112797,elegante pastry shop,brooklyn,165,avenue u,11223,7183737008,Bakery,2018-05-10,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,Cycle Inspection / Initial Inspection,165 ave u,11223,4.0,$$,bakeries
1335,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2015-05-28,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,23.0,Cycle Inspection / Initial Inspection,5812 5 ave,11220,4.0,$,bakeries
1336,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2015-06-11,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15.0,Cycle Inspection / Re-inspection,5812 5 ave,11220,4.0,$,bakeries
1337,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2016-01-27,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,18.0,Cycle Inspection / Initial Inspection,5812 5 ave,11220,4.0,$,bakeries
1338,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2016-02-11,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,9.0,Cycle Inspection / Re-inspection,5812 5 ave,11220,4.0,$,bakeries
1339,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2016-07-28,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,31.0,Cycle Inspection / Initial Inspection,5812 5 ave,11220,4.0,$,bakeries
1340,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2016-08-18,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,Cycle Inspection / Re-inspection,5812 5 ave,11220,4.0,$,bakeries
1341,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2017-03-07,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,Cycle Inspection / Initial Inspection,5812 5 ave,11220,4.0,$,bakeries
1342,41116575,generoso bakery,brooklyn,5812,5 avenue,11220,7184920895,Bakery,2018-03-15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,5812 5 ave,11220,4.0,$,bakeries
1343,41117350,popeyes louisiana kitchen,queens,21710,hillside avenue,11427,7184656812,Chicken,2016-02-25,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,Cycle Inspection / Initial Inspection,21710 hillside ave,11427,2.0,$$,hotdogs
1344,41117350,popeyes louisiana kitchen,queens,21710,hillside avenue,11427,7184656812,Chicken,2016-03-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17.0,Cycle Inspection / Re-inspection,21710 hillside ave,11427,2.0,$$,hotdogs
1345,41117350,popeyes louisiana kitchen,queens,21710,hillside avenue,11427,7184656812,Chicken,2016-11-01,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,21710 hillside ave,11427,2.0,$$,hotdogs
1346,41117350,popeyes louisiana kitchen,queens,21710,hillside avenue,11427,7184656812,Chicken,2018-01-08,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,Cycle Inspection / Initial Inspection,21710 hillside ave,11427,2.0,$$,hotdogs
1347,41117350,popeyes louisiana kitchen,queens,21710,hillside avenue,11427,7184656812,Chicken,2018-12-29,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,Cycle Inspection / Initial Inspection,21710 hillside ave,11427,2.0,$$,hotdogs
1348,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2016-01-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Re-inspection,211 wyckoff ave,11237,3.5,$,mexican
1349,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2016-06-29,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,37.0,Cycle Inspection / Initial Inspection,211 wyckoff ave,11237,3.5,$,mexican
1350,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2016-07-18,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,Cycle Inspection / Re-inspection,211 wyckoff ave,11237,3.5,$,mexican
1351,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2017-01-23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14.0,Cycle Inspection / Initial Inspection,211 wyckoff ave,11237,3.5,$,mexican
1352,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2017-02-27,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,Cycle Inspection / Re-inspection,211 wyckoff ave,11237,3.5,$,mexican
1353,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2017-10-14,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,19.0,Cycle Inspection / Initial Inspection,211 wyckoff ave,11237,3.5,$,mexican
1354,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2017-11-02,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,Cycle Inspection / Re-inspection,211 wyckoff ave,11237,3.5,$,mexican
1355,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2018-04-12,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,23.0,Cycle Inspection / Initial Inspection,211 wyckoff ave,11237,3.5,$,mexican
1356,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2018-05-16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,Cycle Inspection / Re-inspection,211 wyckoff ave,11237,3.5,$,mexican
1357,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2018-10-02,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,27.0,Cycle Inspection / Initial Inspection,211 wyckoff ave,11237,3.5,$,mexican
1358,41118794,taqueria cocoyoc,brooklyn,211,wyckoff avenue,11237,7184974489,Mexican,2018-11-14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,Cycle Inspection / Re-inspection,211 wyckoff ave,11237,3.5,$,mexican
1359,41123415,nurnberger bierhaus,staten island,817,castleton avenue,10310,7188167461,German,2016-05-25,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12.0,Cycle Inspection / Initial Inspection,817 castleton ave,10310,4.0,$$,german
1360,41123415,nurnberger bierhaus,staten island,817,castleton avenue,10310,7188167461,German,2016-07-20,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,22.0,Cycle Inspection / Re-inspection,817 castleton ave,10310,4.0,$$,german
1361,41123415,nurnberger bierhaus,staten island,817,castleton avenue,10310,7188167461,German,2016-12-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,Cycle Inspection / Initial Inspection,817 castleton ave,10310,4.0,$$,german
1362,41123415,nurnberger bierhaus,staten island,817,castleton avenue,10310,7188167461,German,2018-02-27,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,27.0,Cycle Inspection / Initial Inspection,817 castleton ave,10310,4.0,$$,german
1363,41123415,nurnberger bierhaus,staten island,817,castleton avenue,10310,7188167461,German,2018-04-09,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10.0,Cycle Inspection / Re-inspection,817 castleton ave,10310,4.0,$$,german
1364,41123415,nurnberger bierhaus,staten island,817,castleton avenue,10310,7188167461,German,2018-12-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,817 castleton ave,10310,4.0,$$,german
1365,41125764,dunkin' donuts,queens,7513,metropolitan avenue,11379,7183267837,Donuts,2015-11-23,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,Cycle Inspection / Initial Inspection,7513 metropolitan ave,11379,2.5,$,donuts
1366,41125764,dunkin' donuts,queens,7513,metropolitan avenue,11379,7183267837,Donuts,2017-01-04,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9.0,Cycle Inspection / Initial Inspection,7513 metropolitan ave,11379,2.5,$,donuts
1367,41125764,dunkin' donuts,queens,7513,metropolitan avenue,11379,7183267837,Donuts,2018-02-07,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,Cycle Inspection / Initial Inspection,7513 metropolitan ave,11379,2.5,$,donuts
1368,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2015-10-27,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,19.0,Cycle Inspection / Initial Inspection,7118 13 ave,11228,3.0,$$,diners
1369,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2015-11-10,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4.0,Cycle Inspection / Re-inspection,7118 13 ave,11228,3.0,$$,diners
1370,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2016-05-26,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,17.0,Cycle Inspection / Initial Inspection,7118 13 ave,11228,3.0,$$,diners
1371,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2016-06-20,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,13.0,Cycle Inspection / Re-inspection,7118 13 ave,11228,3.0,$$,diners
1372,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2016-12-13,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17.0,Cycle Inspection / Initial Inspection,7118 13 ave,11228,3.0,$$,diners
1373,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2017-01-10,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,Cycle Inspection / Re-inspection,7118 13 ave,11228,3.0,$$,diners
1374,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2017-07-31,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,Cycle Inspection / Initial Inspection,7118 13 ave,11228,3.0,$$,diners
1375,41126771,jimmy's place,brooklyn,7118,13 avenue,11228,7187485934,American,2018-07-25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,Cycle Inspection / Initial Inspection,7118 13 ave,11228,3.0,$$,diners
1376,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-09-17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23.0,Cycle Inspection / Initial Inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1377,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-10-15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19.0,Cycle Inspection / Re-inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1378,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-06-22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,16.0,Cycle Inspection / Initial Inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1379,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-07-18,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,29.0,Cycle Inspection / Re-inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1380,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2017-04-20,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,25.0,Cycle Inspection / Initial Inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1381,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2017-10-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,Cycle Inspection / Re-inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1382,41127243,mamajuana cafe,manhattan,247,dyckman street,10034,2123040140,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2018-05-30,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,Cycle Inspection / Initial Inspection,247 dyckman st,10034,3.0,$$,breakfast_brunch
1383,41129116,dunkin' donuts,staten island,77,richmond hill road,10314,7183701238,Donuts,2016-03-16,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,7.0,Cycle Inspection / Initial Inspection,77 richmond hill rd,10314,1.5,$,donuts
1384,41129116,dunkin' donuts,staten island,77,richmond hill road,10314,7183701238,Donuts,2017-05-04,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,Cycle Inspection / Initial Inspection,77 richmond hill rd,10314,1.5,$,donuts
1385,41129116,dunkin' donuts,staten island,77,richmond hill road,10314,7183701238,Donuts,2018-05-01,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,Cycle Inspection / Initial Inspection,77 richmond hill rd,10314,1.5,$,donuts
1386,41133245,pegu club,manhattan,77,west houston street,10012,2124737348,American,2016-01-26,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2.0,Cycle Inspection / Initial Inspection,77 w houston st,10012,4.0,$$$,lounges
1387,41133245,pegu club,manhattan,77,west houston street,10012,2124737348,American,2016-06-22,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12.0,Cycle Inspection / Re-inspection,77 w houston st,10012,4.0,$$$,lounges
1388,41133245,pegu club,manhattan,77,west houston street,10012,2124737348,American,2016-12-06,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,29.0,Cycle Inspection / Initial Inspection,77 w houston st,10012,4.0,$$$,lounges
1389,41133245,pegu club,manhattan,77,west houston street,10012,2124737348,American,2017-02-08,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,Cycle Inspection / Re-inspection,77 w houston st,10012,4.0,$$$,lounges
1390,41133245,pegu club,manhattan,77,west houston street,10012,2124737348,American,2018-02-07,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,28.0,Cycle Inspection / Initial Inspection,77 w houston st,10012,4.0,$$$,lounges
1391,41133245,pegu club,manhattan,77,west houston street,10012,2124737348,American,2018-09-11,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15.0,Cycle Inspection / Re-inspection,77 w houston st,10012,4.0,$$$,lounges
1392,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2015-04-30,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10.0,Cycle Inspection / Initial Inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1393,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2015-05-21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,Cycle Inspection / Re-inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1394,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2015-09-19,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,5.0,Cycle Inspection / Initial Inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1395,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2015-09-28,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11.0,Cycle Inspection / Re-inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1396,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2016-02-26,No violations were recorded at the time of this inspection.,na,na,Not Applicable,0.0,Cycle Inspection / Initial Inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1397,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2016-03-06,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,Cycle Inspection / Re-inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1398,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2016-08-10,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,28.0,Cycle Inspection / Initial Inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1399,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2016-08-24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,Cycle Inspection / Re-inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1400,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2017-03-09,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,Cycle Inspection / Initial Inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1401,41135075,fuel,brooklyn,1715,sheepshead bay rd,11235,7187433333,American,2018-03-12,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,Cycle Inspection / Initial Inspection,1715 sheepshead bay rd,11235,4.0,$$,juicebars
1402,41136253,victor's coffee shop,queens,21261,jamaica avenue,11428,7182174520,Spanish,2016-05-28,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,Cycle Inspection / Initial Inspection,21261 jamaica ave,11428,4.0,$,diners
1403,41136253,victor's coffee shop,queens,21261,jamaica avenue,11428,7182174520,Spanish,2017-06-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,Cycle Inspection / Initial Inspection,21261 jamaica ave,11428,4.0,$,diners
1404,41136253,victor's coffee shop,queens,21261,jamaica avenue,11428,7182174520,Spanish,2017-08-31,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15.0,Cycle Inspection / Re-inspection,21261 jamaica ave,11428,4.0,$,diners
1405,41136253,victor's coffee shop,queens,21261,jamaica avenue,11428,7182174520,Spanish,2018-03-29,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,Cycle Inspection / Initial Inspection,21261 jamaica ave,11428,4.0,$,diners
1406,41136253,victor's coffee shop,queens,21261,jamaica avenue,11428,7182174520,Spanish,2018-04-23,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,Cycle Inspection / Re-inspection,21261 jamaica ave,11428,4.0,$,diners
1407,41136253,victor's coffee shop,queens,21261,jamaica avenue,11428,7182174520,Spanish,2018-09-18,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11.0,Cycle Inspection / Initial Inspection,21261 jamaica ave,11428,4.0,$,diners
1408,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2015-03-04,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,10.0,Cycle Inspection / Re-inspection,4619 30 ave,11103,4.0,$$,bars
1409,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2015-07-22,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,14.0,Cycle Inspection / Initial Inspection,4619 30 ave,11103,4.0,$$,bars
1410,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2015-08-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,Cycle Inspection / Re-inspection,4619 30 ave,11103,4.0,$$,bars
1411,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2016-03-02,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,Cycle Inspection / Initial Inspection,4619 30 ave,11103,4.0,$$,bars
1412,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2016-04-06,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,Cycle Inspection / Re-inspection,4619 30 ave,11103,4.0,$$,bars
1413,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2016-09-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,Cycle Inspection / Initial Inspection,4619 30 ave,11103,4.0,$$,bars
1414,41137340,dillingers pub and grill,queens,4619,30 avenue,11103,7189565601,American,2018-02-08,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,Cycle Inspection / Initial Inspection,4619 30 ave,11103,4.0,$$,bars
1415,41142196,ukus,queens,4208,30 avenue,11103,7182678587,Eastern European,2016-03-03,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,Cycle Inspection / Initial Inspection,4208 30 ave,11103,4.0,$$,modern_european
1416,41142196,ukus,queens,4208,30 avenue,11103,7182678587,Eastern European,2017-03-08,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,29.0,Cycle Inspection / Initial Inspection,4208 30 ave,11103,4.0,$$,modern_european
1417,41142196,ukus,queens,4208,30 avenue,11103,7182678587,Eastern European,2017-03-29,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13.0,Cycle Inspection / Re-inspection,4208 30 ave,11103,4.0,$$,modern_european
1418,41142196,ukus,queens,4208,30 avenue,11103,7182678587,Eastern European,2017-12-04,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,24.0,Cycle Inspection / Initial Inspection,4208 30 ave,11103,4.0,$$,modern_european
